url_length,num_special_chars,num_dots,has_ip_address,has_at_symbol,domain_age_days,is_https,has_subdomain,num_urgency_words,num_spelling_errors,has_money_terms,num_links,sender_reputation_score,has_spf_record,has_dkim,has_attachment,attachment_suspicious,email_length,Label
185,26,14,1,0,161,1,0,8,7,1,5,0.1898134250489763,1,0,1,1,583,1
120,24,6,1,0,112,1,0,6,2,1,7,0.030858067415832746,1,0,1,0,260,1
61,10,2,0,0,2569,1,0,4,1,0,4,0.6784722427751915,1,1,0,0,605,0
47,2,1,0,0,1275,1,0,2,0,0,0,0.6455781077778174,1,1,1,0,968,0
62,4,1,0,0,3856,1,0,0,0,0,3,0.9024066329860728,1,1,0,0,1076,0
101,25,8,0,1,97,1,0,1,6,1,11,0.5538466357148633,0,0,1,0,441,1
211,25,14,1,1,84,0,0,9,6,0,6,0.3354435550135849,1,0,0,1,355,1
94,18,9,1,0,77,0,1,6,7,1,14,0.2156645106701018,0,0,1,0,743,1
124,32,5,1,1,131,1,1,10,4,0,13,0.186014533688364,0,1,1,1,253,1
34,3,1,0,0,4010,1,1,2,0,0,2,0.6935393476341911,0,0,1,0,1149,0
159,40,11,1,1,93,0,1,7,6,1,5,0.021893082769994354,0,0,0,0,711,1
190,17,7,1,0,34,0,1,5,4,1,9,0.0776651476184329,0,0,0,1,115,1
69,3,3,0,0,3104,1,1,0,0,1,0,0.6838955975754264,1,1,1,0,218,0
55,9,2,0,0,2344,0,0,2,0,0,0,0.7366847517366754,1,0,1,0,1355,0
83,41,12,0,1,47,0,1,6,5,1,11,0.15289492800579657,0,1,1,1,650,1
54,3,3,0,0,1619,1,1,2,1,0,1,0.829565723578505,0,1,1,0,1182,0
26,7,1,0,0,962,1,0,2,1,0,2,0.7802146156268304,0,1,1,0,349,0
43,7,2,0,0,2909,1,0,0,0,0,1,0.9349125094796233,1,1,0,0,468,0
235,34,11,1,0,77,1,0,4,3,1,10,0.34063772772168766,1,1,1,1,539,1
52,10,1,0,0,1069,1,1,0,0,1,3,0.6903525651734304,1,1,0,0,863,0
163,38,6,1,0,178,1,1,3,2,1,13,0.07831645391571858,0,0,0,0,134,1
137,26,9,0,1,163,0,1,4,2,1,3,0.25102323203362537,0,1,0,0,457,1
20,9,3,0,0,1440,1,1,1,1,1,3,0.7803614612372592,1,1,0,0,839,0
239,37,8,0,0,144,1,1,6,3,1,13,0.3265727492877536,1,0,1,1,759,1
99,44,10,1,1,93,1,1,3,7,1,8,0.23327632171083904,0,0,0,0,395,1
62,2,3,0,0,1961,1,0,0,0,0,2,0.9314424534595135,1,0,0,0,675,0
195,29,7,1,1,60,0,1,10,5,0,4,0.12252039875501503,0,0,0,1,346,1
150,15,11,1,1,61,0,0,10,4,0,5,0.18131553389921107,0,0,1,1,743,1
31,8,1,0,0,1878,0,0,0,0,0,0,0.963822171374881,0,1,1,0,630,0
236,33,7,1,1,130,0,1,11,3,1,4,0.02678944481010861,1,0,1,1,215,1
47,6,1,0,0,769,1,0,1,1,1,0,0.7511873422565136,1,0,1,0,1068,0
75,2,1,0,0,3947,1,0,0,1,0,1,0.6263368658034618,1,1,0,0,1098,0
76,9,3,0,0,4811,1,0,2,1,0,0,0.9174869703140849,1,1,0,0,1259,0
46,4,3,0,0,3247,1,0,0,0,0,3,0.906684669768287,1,0,1,0,222,0
82,17,10,1,1,88,0,1,4,4,1,5,0.10918374994252598,0,0,1,0,562,1
47,5,1,0,0,2308,1,0,2,1,0,3,0.9210258137394496,1,1,1,1,562,0
133,15,8,1,0,79,1,0,5,4,1,11,0.2665227543340159,0,0,1,0,272,1
166,44,10,1,0,47,1,1,5,6,1,5,0.17493902897303792,1,0,0,1,530,1
36,5,2,0,0,721,1,0,1,0,1,3,0.928117184243671,1,1,0,0,665,0
29,8,2,0,0,2940,1,1,2,1,1,0,0.6089969318542162,1,1,1,0,1096,0
147,29,13,1,1,13,0,1,9,7,1,11,0.36129924203805225,0,1,0,1,694,1
225,29,6,1,0,108,1,1,10,4,0,11,0.05505189375934454,0,1,0,0,752,1
32,10,2,0,0,2657,1,1,0,1,0,2,0.6852242204070143,1,1,0,0,850,0
135,44,5,0,1,112,0,1,10,7,1,14,0.14756545582790898,0,1,0,0,106,1
42,4,2,0,0,1087,1,0,1,1,0,4,0.9033634563198819,1,0,1,1,1471,0
176,37,11,0,1,43,1,1,6,6,1,13,0.37911187918769196,0,1,0,1,730,1
46,10,3,0,0,373,1,0,0,0,1,0,0.6726031846485981,0,1,1,0,495,0
83,43,10,1,1,15,0,1,4,4,1,13,0.34988066907367976,0,1,1,1,128,1
97,17,11,1,0,164,1,1,6,4,1,3,0.20141879260475448,0,0,1,1,602,1
141,35,13,1,0,120,1,1,9,5,1,3,0.04418964525255786,0,0,0,0,764,1
148,37,9,1,1,92,0,1,10,6,1,8,0.34317396559893154,0,0,1,1,751,1
33,9,2,1,0,4731,1,0,2,1,0,2,0.8545714975011396,1,1,0,0,1167,0
63,7,3,0,0,3884,1,0,1,0,0,2,0.9236983347013931,1,1,0,0,332,0
73,6,2,0,0,1027,1,0,0,1,0,2,0.6262511981342961,1,1,1,0,1423,0
63,5,3,0,0,4107,1,0,1,0,0,4,0.9223811873509932,1,1,0,0,926,0
111,29,9,1,0,51,1,0,4,3,1,9,0.3041600269149931,0,0,0,1,676,1
232,39,7,1,1,21,0,0,8,4,1,6,0.2007478124098015,0,1,0,1,607,1
184,24,14,1,1,157,0,0,7,5,1,14,0.3217497656550803,0,0,1,1,416,1
45,4,2,1,0,934,1,0,0,0,0,1,0.8205269562651256,1,1,0,0,918,0
82,30,9,1,1,24,0,1,5,4,1,13,0.23153606721423703,0,1,0,1,639,1
69,8,3,0,0,907,1,1,1,0,0,1,0.9099311066618485,1,1,0,0,1238,0
152,42,7,1,1,159,0,1,11,3,0,8,0.30750567228846415,0,1,0,1,481,1
40,8,2,0,0,4648,1,0,0,0,1,4,0.7623551010418902,0,1,1,0,1120,0
93,30,14,1,1,104,0,1,3,2,0,6,0.15174343596896953,0,0,1,1,731,1
177,26,7,1,1,48,0,1,9,2,0,10,0.30335696557827263,0,1,1,1,299,1
78,8,2,0,0,771,1,1,0,1,0,4,0.6797850747332208,0,1,0,0,1220,0
28,4,3,0,0,993,1,0,1,1,0,0,0.9588154065002739,1,1,1,0,1127,0
101,32,9,0,1,116,1,1,4,2,0,8,0.05820619311494366,1,0,1,0,474,1
25,12,3,0,0,3248,1,0,4,1,0,1,0.911884610072154,1,1,0,0,1298,0
121,23,14,1,0,158,1,1,5,6,1,13,0.16447619034779645,0,0,1,1,401,1
60,11,3,0,0,3394,1,0,4,1,0,0,0.9481601852423348,1,1,0,0,885,0
42,10,2,0,0,818,1,1,2,1,0,2,0.6291873331702751,1,1,1,0,1251,0
57,10,1,0,0,1991,1,0,2,1,0,3,0.7157991460478879,1,1,1,0,243,0
20,3,2,0,0,4144,1,0,0,0,1,2,0.8911022869314338,1,1,0,0,360,0
104,44,13,0,1,139,1,0,8,5,1,5,0.1830798420637176,0,0,0,0,112,1
50,6,3,1,0,2519,1,0,1,1,1,1,0.9139996697694335,1,1,0,0,462,0
31,2,2,0,0,779,1,0,2,1,0,1,0.8420406488948603,1,1,1,0,774,0
44,9,2,0,0,1568,1,1,1,1,0,1,0.7999289030994357,1,1,0,0,701,0
78,4,1,0,0,1114,1,0,2,0,0,2,0.7245663015524635,1,1,0,0,344,0
70,7,1,0,0,1760,1,0,0,0,1,1,0.9268339787678598,1,1,0,0,1340,0
204,26,7,1,1,142,0,1,6,7,0,14,0.14913945487557378,0,0,0,1,601,1
110,31,13,1,0,58,0,0,3,4,1,11,0.2034735802736316,0,0,1,1,314,1
195,37,9,1,1,168,0,1,8,7,0,12,0.08022410042919317,0,0,1,1,441,1
29,2,3,0,1,4168,1,0,0,1,0,1,0.8555511025704803,1,1,0,0,1360,0
59,9,3,0,0,2787,1,0,2,0,0,4,0.6966024907424245,1,1,0,1,1014,0
245,43,7,1,0,102,1,1,6,7,1,11,0.3946252456457642,0,0,1,1,486,1
40,9,3,1,0,755,1,0,0,0,0,3,0.680569163529121,1,0,0,0,209,0
111,24,14,1,0,121,0,1,10,5,1,8,0.1837384040691291,1,1,1,1,267,1
20,7,3,0,0,1054,1,0,0,0,0,1,0.9606613546850821,1,1,0,0,727,0
155,40,13,1,1,175,0,1,3,4,1,10,0.19703960208872565,0,1,0,1,712,1
155,38,11,1,1,33,0,0,8,3,1,6,0.30154723308396525,0,1,1,1,563,1
72,4,3,0,0,4879,1,0,1,0,1,1,0.8866527746808126,1,1,0,0,257,0
24,10,1,0,0,2814,1,0,0,1,0,1,0.9415793852058174,1,1,0,0,1247,0
152,40,13,0,0,22,0,0,5,5,1,6,0.326717347829739,1,1,1,1,399,1
57,4,2,1,0,3093,1,0,2,1,0,1,0.9756896544684827,1,1,0,0,902,0
50,5,3,0,0,2283,1,0,1,1,0,0,0.9140368815699962,1,1,0,0,1032,0
75,8,2,0,0,778,0,1,0,1,0,3,0.9314668574134376,1,1,1,0,920,0
21,5,1,0,0,988,1,0,1,1,0,0,0.7918527824798107,1,1,1,0,1312,0
178,34,7,1,0,110,0,1,6,7,1,5,0.14586827049373463,1,0,0,1,375,1
78,3,3,0,0,3605,1,0,0,0,0,2,0.680610801167297,1,1,0,0,1479,0
46,5,3,0,0,2933,1,0,2,0,0,3,0.8234489347464757,1,1,0,0,369,0
208,22,11,1,0,109,0,1,9,5,1,9,0.26356957676406056,0,0,0,1,427,1
228,28,11,1,1,111,1,1,8,3,1,8,0.3330721877388173,0,1,1,1,169,1
240,42,12,0,0,69,0,1,7,5,0,4,0.31350895560689973,0,0,1,1,554,1
178,30,8,1,1,151,1,1,3,6,1,5,0.04124954753437304,1,0,1,1,798,1
141,43,7,1,0,97,0,1,3,7,1,10,0.09811421290213383,0,0,0,0,792,1
126,15,14,1,0,125,0,1,5,2,1,10,0.0537658707755897,0,1,0,1,420,1
182,24,13,0,0,145,0,1,9,5,1,9,0.33317188622969124,0,1,1,1,105,1
72,2,2,0,0,1068,0,1,1,0,0,2,0.9064487005380522,0,1,0,0,516,0
161,16,14,1,1,62,1,1,11,4,1,9,0.09626820590286123,1,1,0,1,662,1
27,7,2,0,0,1795,1,0,2,1,1,4,0.8002786511181239,1,1,1,0,877,0
65,6,2,0,0,1610,1,0,1,0,0,2,0.8652215454944483,1,1,1,0,1045,0
30,11,1,0,0,414,1,0,1,1,0,1,0.7746458248806906,0,1,1,0,1095,0
139,20,9,1,1,161,0,1,6,7,0,4,0.38846036294731434,0,1,0,1,498,1
36,2,2,0,0,3036,1,0,1,0,1,3,0.6043863664225789,1,1,0,0,588,0
93,30,10,1,1,49,0,1,9,2,1,8,0.3345662386319427,1,0,1,0,489,1
36,2,1,0,0,2947,1,1,0,1,1,3,0.8166381851193372,1,1,0,0,1445,0
194,33,14,1,1,95,0,1,6,7,1,10,0.1764894854621306,0,1,0,1,181,1
39,6,1,0,0,4414,0,1,2,0,0,1,0.6685130545168605,1,0,0,0,235,0
213,37,6,1,0,48,0,1,7,3,1,12,0.3900348678830725,0,1,0,0,127,1
63,9,3,0,0,4012,1,0,1,1,0,3,0.720559350966873,1,1,1,0,1118,0
160,44,9,0,1,32,0,0,3,6,1,11,0.2179526744117574,0,1,1,1,700,1
150,40,6,1,1,96,0,1,5,5,1,11,0.2104330073669612,1,1,0,1,541,1
64,11,1,0,0,2423,0,1,2,0,1,3,0.7042223863945796,1,1,0,0,1154,0
106,39,10,1,0,52,0,1,7,5,1,4,0.06651334750243176,1,0,1,0,248,1
46,4,3,0,0,3446,1,1,0,0,1,1,0.9615608025134885,0,1,0,0,1261,0
28,7,2,0,0,2111,1,1,2,1,0,4,0.9165410894609338,1,1,0,0,1427,0
34,6,3,0,0,3448,1,0,1,0,0,4,0.7832330758702922,1,0,1,0,970,0
46,13,3,0,0,1760,1,0,4,1,1,4,0.8517419770515753,1,1,0,0,1300,0
42,7,1,0,0,470,1,1,0,1,0,4,0.7891923925482943,1,1,0,0,492,0
74,6,1,0,0,2880,1,1,0,1,0,0,0.6907078213403066,1,1,1,0,702,0
22,11,2,0,0,1447,1,0,1,0,0,3,0.9066229177467013,1,1,1,0,1222,0
238,43,13,0,1,53,0,1,11,7,1,7,0.1642836981566665,1,1,1,1,372,1
51,4,3,0,0,3200,1,0,2,1,0,0,0.8789845068906907,1,0,1,0,1340,0
133,44,5,0,1,143,0,1,8,5,0,11,0.08765042586832035,0,0,1,0,674,1
209,18,6,1,0,21,0,1,11,6,1,7,0.15472289682075202,0,0,0,0,328,1
124,40,5,0,1,23,0,1,3,4,1,11,0.14031104920412485,1,0,1,1,496,1
173,34,7,0,1,7,0,1,11,2,1,6,0.21143368057497694,1,1,1,0,130,1
142,19,8,1,1,6,0,1,9,6,1,7,0.004412505771458886,0,0,0,0,749,1
64,6,1,0,0,1314,1,1,1,0,1,1,0.6925650488708595,1,1,1,0,1278,0
86,37,12,1,0,29,0,1,7,3,1,7,0.1369336329843963,1,0,1,1,519,1
196,18,5,1,0,29,0,0,11,3,1,7,0.05655342168653608,0,0,0,0,775,1
143,19,11,0,0,69,0,1,4,6,1,5,0.2788654768551922,0,0,0,1,466,1
121,22,5,1,1,41,0,1,8,2,1,13,0.0453763268415667,1,0,1,1,172,1
56,10,3,0,0,3695,0,0,1,1,0,4,0.886734882693561,1,1,0,0,1217,0
47,10,1,0,0,3856,1,0,0,0,0,1,0.6857832917296647,0,1,1,1,1036,0
119,21,11,1,1,20,0,1,3,5,1,13,0.29085247875277104,0,1,0,0,580,1
37,4,3,0,0,2113,0,0,2,1,0,3,0.7343146334011345,0,1,0,0,1426,0
156,23,6,0,1,23,0,1,9,3,1,5,0.25410599494363234,0,0,1,1,291,1
48,10,2,0,0,3061,1,0,0,0,1,1,0.9187392707088493,1,1,1,0,1308,0
78,8,2,0,0,2804,1,0,2,1,0,3,0.9344027998889399,0,1,0,0,309,0
240,35,7,0,0,174,0,1,9,7,1,14,0.18851486695926584,1,0,0,1,165,1
238,24,6,1,1,48,0,1,5,3,1,12,0.2730046920464801,0,1,0,1,370,1
128,19,6,1,1,58,1,1,0,5,1,11,0.5235812623640569,1,0,1,1,111,1
32,2,1,0,0,4738,1,0,0,1,1,4,0.7938153924502587,1,1,1,0,995,0
69,8,3,0,0,3212,1,0,2,0,0,1,0.7330590541336583,0,1,0,0,562,0
69,6,1,0,0,1021,1,0,2,0,0,4,0.6492938672039216,1,1,0,0,782,0
58,3,3,0,0,2662,1,1,2,0,0,0,0.826215565847864,1,1,0,1,832,0
68,6,1,0,0,2126,1,0,0,0,0,4,0.7012981452161003,1,0,0,0,545,0
154,30,6,1,0,81,1,1,10,7,1,8,0.2971525974671756,1,0,0,1,172,1
90,36,12,1,0,129,0,1,3,3,1,14,0.17754367536852045,0,1,1,1,604,1
215,39,14,0,1,137,1,1,8,4,1,9,0.04589678333527676,0,0,0,0,478,1
175,40,5,1,0,162,0,1,3,7,1,8,0.03099318951695436,0,0,0,1,346,1
96,25,13,1,1,28,1,1,11,7,1,10,0.30105531762873444,0,1,0,0,729,1
22,6,3,0,0,2319,1,0,1,1,0,1,0.8689051759730264,1,1,0,0,990,0
143,31,13,1,1,26,1,0,3,6,1,13,0.33791329124675507,1,0,0,0,477,1
118,44,7,0,1,125,0,0,11,2,1,14,0.38486901938981677,0,0,1,0,233,1
54,8,3,0,0,3180,1,1,0,1,0,1,0.6046104056211941,1,1,0,1,1383,0
30,8,3,0,0,1669,1,1,1,1,0,1,0.8572051920739064,1,1,1,0,1207,0
56,7,1,0,0,4050,1,0,2,0,0,3,0.7012829926569429,1,1,0,0,757,0
70,8,1,0,0,713,1,0,0,1,1,3,0.7323634332312104,1,1,0,0,1137,0
27,11,3,0,0,2256,0,0,0,0,1,1,0.6188156213658992,1,1,1,0,1436,0
138,37,12,0,1,33,0,1,11,5,1,11,5.387720179412803e-05,0,0,0,1,442,1
24,11,1,0,0,4245,1,1,2,1,0,0,0.64263897993174,1,1,1,0,1412,0
223,38,9,1,0,75,0,1,4,5,1,12,0.08923600737814233,0,0,1,0,158,1
24,6,2,0,0,1023,0,0,0,0,1,3,0.7353922041471911,1,1,0,0,625,0
138,37,6,1,0,145,0,1,10,4,1,4,0.35399934260931243,0,0,1,1,596,1
198,39,7,1,0,165,0,0,3,7,0,3,0.18750718618580234,0,0,0,0,321,1
46,10,1,0,0,2896,1,0,2,1,1,0,0.809644616490782,0,1,1,0,730,0
58,2,1,0,0,4680,1,1,1,0,0,3,0.6673631796040119,1,1,0,0,687,0
55,2,2,0,0,2039,1,0,1,1,0,0,0.9632139505342886,1,1,0,1,208,0
88,43,9,0,1,62,1,1,6,6,1,4,0.29694797483591273,0,0,0,1,266,1
44,3,2,0,0,2835,1,0,0,1,1,2,0.9411935876120546,1,1,1,0,629,0
114,36,5,1,1,10,0,1,11,5,0,3,0.17239356076832882,0,0,0,1,168,1
37,7,1,0,0,3674,1,0,2,0,0,4,0.99455943059412,1,1,0,0,745,0
32,9,1,0,0,3921,1,1,2,0,0,4,0.955553709633533,1,1,1,0,767,0
208,41,9,1,0,60,0,1,3,5,1,13,0.00575249439366119,1,1,1,1,261,1
58,8,1,0,0,2640,1,0,2,1,1,1,0.9025910715361649,1,1,0,0,883,0
53,10,2,0,0,4387,1,0,1,0,0,2,0.7796558753837564,1,1,1,0,286,0
126,18,12,1,1,135,0,1,4,4,1,5,0.22620333892918953,1,0,1,1,649,1
73,10,2,0,0,4881,0,0,0,1,0,0,0.6798349983200394,0,1,0,0,1023,0
93,32,14,1,0,83,0,1,10,4,1,6,0.07289443511522493,1,0,0,1,576,1
68,6,3,0,0,3963,1,0,2,0,0,3,0.9589676200312695,1,1,0,0,1483,0
232,26,11,0,1,69,1,0,8,7,1,8,0.2513627830563959,0,0,1,1,388,1
20,10,2,0,0,2468,1,0,2,1,1,3,0.6865315880665083,1,1,1,0,1278,0
35,2,1,0,0,2420,1,0,1,0,0,2,0.8677028370318594,0,1,0,0,433,0
238,37,8,0,0,87,0,1,7,5,0,8,0.3055426000800856,0,1,1,1,116,1
20,9,3,0,0,3655,1,1,0,0,0,4,0.6442972480764743,1,1,0,0,1267,0
101,23,13,0,1,44,0,1,3,2,1,11,0.33599928929757716,1,1,0,1,544,1
73,4,1,0,0,2206,1,1,0,1,0,4,0.9904282344127617,1,1,0,0,675,0
142,39,10,1,1,160,0,1,3,6,0,8,0.2766857588675648,0,1,1,1,664,1
231,42,9,0,0,89,0,1,7,2,1,13,0.2792646856078981,0,0,1,1,657,1
102,28,12,0,0,12,0,1,11,6,0,4,0.3041697246729887,0,1,1,1,337,1
37,5,2,0,0,2430,1,0,1,1,0,4,0.6547515466549028,1,1,1,0,1454,0
112,44,6,1,1,122,0,1,6,2,1,8,0.2933946985968416,0,1,1,1,503,1
205,29,12,1,1,176,1,1,6,7,1,6,0.3027710637365766,0,1,1,1,687,1
225,40,6,1,1,94,1,0,1,5,0,10,0.5006745887101111,1,0,1,1,287,1
114,21,10,1,1,86,1,1,5,7,1,8,0.11837715554346265,0,0,1,1,723,1
30,9,1,0,0,4714,1,0,1,1,1,0,0.6189662544560339,1,1,0,0,1033,0
49,5,1,0,0,4121,1,0,2,0,0,3,0.6870916136988099,1,1,1,0,1183,0
125,27,8,1,1,95,1,0,3,6,1,8,0.2957876932954909,0,0,1,0,144,1
162,23,7,0,1,114,0,1,3,5,1,10,0.32558810780240754,0,0,1,1,330,1
130,22,10,1,1,81,0,0,3,6,1,6,0.10976468840015007,0,1,1,1,644,1
163,36,7,1,0,91,1,1,7,4,1,5,0.10968608093946802,1,0,1,0,262,1
132,37,7,0,0,149,0,1,5,5,0,5,0.08822444996892931,0,0,1,0,258,1
117,20,6,1,0,98,0,0,3,5,1,5,0.3586298633876041,0,0,1,1,444,1
198,26,5,1,0,122,0,1,9,2,1,10,0.3789401850524155,0,1,1,1,558,1
38,7,2,0,0,1937,1,0,0,1,1,1,0.7663155606309012,1,0,1,0,464,0
53,11,1,0,0,925,0,1,0,1,1,0,0.865383329206437,1,1,0,0,652,0
60,11,3,0,0,947,1,0,1,1,0,4,0.740280930972291,1,1,0,0,741,0
162,44,10,0,1,175,0,1,10,5,1,4,0.37134902079231674,0,0,1,1,543,1
106,24,13,1,0,25,0,1,11,5,1,9,0.047188993451224626,0,0,1,0,328,1
78,2,2,0,0,4067,1,0,0,0,0,0,0.9473188072645311,1,0,0,0,1491,0
26,7,3,0,0,1713,1,0,2,1,0,0,0.9160438049068378,1,1,0,0,1194,0
22,11,3,0,0,541,1,0,2,0,0,4,0.764376733288259,1,1,0,1,1321,0
151,26,6,0,0,61,0,1,10,7,1,3,0.15317074990151594,1,1,1,0,497,1
77,5,3,0,0,4153,1,0,0,0,1,4,0.9315588447903511,1,1,0,0,1355,0
130,41,10,0,1,11,0,1,11,4,1,7,0.03228338167759439,1,1,1,0,572,1
169,39,11,1,0,140,0,1,3,3,0,10,0.38517075009503193,0,1,1,0,461,1
152,21,8,1,1,172,1,1,11,7,1,7,0.3186034078894834,0,0,1,1,726,1
87,15,9,1,0,114,1,0,10,5,1,4,0.13695804931834385,0,0,1,1,691,1
52,6,3,0,0,3068,1,1,1,0,1,4,0.8986886406736248,1,1,0,0,1456,0
23,2,2,0,0,1127,1,0,1,1,0,4,0.8464394248597419,1,1,1,0,407,0
90,19,7,1,0,158,0,1,7,4,1,13,0.05722478108936096,0,0,1,1,632,1
35,7,3,0,0,4538,1,0,2,0,0,4,0.9479623735561283,1,1,0,0,553,0
137,19,8,1,1,60,0,1,4,2,1,8,0.12937714204007872,1,0,1,0,659,1
191,43,6,0,0,74,1,1,10,7,0,10,0.15406505110901622,0,1,1,1,502,1
165,36,13,1,0,1,0,1,4,4,0,14,0.29312061790650024,0,0,1,0,118,1
42,6,2,0,0,4730,1,0,0,1,0,0,0.6177170882328371,1,0,0,0,1256,0
126,34,11,1,0,111,0,1,11,7,1,9,0.32198549215970185,0,0,0,0,558,1
43,6,3,0,0,3276,1,1,0,1,0,1,0.6021256676619448,1,1,1,0,598,0
91,44,11,1,0,112,1,1,4,3,1,9,0.11145858569464458,1,0,0,1,771,1
89,35,10,1,0,21,1,1,3,2,1,9,0.1012406156718435,0,1,0,1,717,1
37,11,3,0,0,693,1,1,2,0,0,3,0.6398904815413472,1,1,0,0,205,0
165,42,8,1,1,96,0,0,3,6,0,8,0.12883788088773415,1,0,1,1,205,1
49,7,2,0,0,998,1,1,1,0,1,0,0.7984486776565779,1,1,0,0,613,0
38,7,3,0,0,4544,1,0,1,1,0,3,0.6402121434767344,1,1,0,0,234,0
21,7,3,0,0,2066,1,1,2,1,0,2,0.8065359275353307,1,1,0,1,894,0
228,39,8,1,0,115,0,1,6,7,1,10,0.04663322982227869,0,1,0,1,190,1
91,19,14,1,0,129,1,1,9,6,1,12,0.31275636519875594,1,0,1,1,308,1
175,41,6,1,1,91,1,0,10,2,1,11,0.2334854350925456,1,1,1,1,454,1
78,10,1,0,0,4735,1,0,2,1,1,2,0.7295403546228013,1,1,0,0,343,0
151,37,9,1,1,104,0,0,11,2,1,3,0.030964620793900235,0,0,0,1,413,1
196,24,5,0,1,112,0,0,6,6,1,14,0.013179147298211992,0,0,0,0,510,1
246,27,5,1,1,81,0,1,8,4,1,11,0.3439178699246583,0,0,1,1,587,1
23,5,1,0,0,4294,1,0,2,1,1,0,0.8258285834428445,0,1,1,0,595,0
23,10,1,0,0,3776,1,0,1,1,0,0,0.7808033151948325,1,1,0,0,677,0
24,3,3,0,0,1102,1,0,1,0,0,4,0.9285317801400974,1,1,0,0,524,0
54,5,1,0,0,3282,1,0,2,1,0,2,0.7076479010552041,1,0,1,0,702,0
116,28,14,1,0,147,0,1,8,7,0,10,0.37956648727548603,0,0,1,1,705,1
217,25,6,1,1,177,0,1,5,5,1,12,0.0786668929561229,1,0,1,0,375,1
223,41,6,1,0,125,1,0,9,4,1,5,0.2733737948215668,0,0,1,1,277,1
63,9,1,0,0,3904,1,0,1,0,1,3,0.7087949291933526,1,1,0,0,1067,0
107,17,13,1,1,41,1,0,5,2,1,12,0.22315167343115425,0,0,0,1,716,1
150,41,7,0,1,44,0,0,6,7,1,12,0.04883518188026934,0,1,0,1,732,1
147,19,9,1,1,108,1,1,5,4,1,5,0.0708683701087462,0,0,0,1,598,1
25,2,1,0,0,1725,1,0,2,1,0,3,0.7008809608637323,1,1,0,0,378,0
